""	"x"
"448"	"ENST00000513200"
"449"	"ENST00000513317"
"450"	"ENST00000513878"
"451"	"ENST00000514187"
"452"	"ENST00000514780"
"453"	"ENST00000515789"
"454"	"ENST00000517878"
"455"	"ENST00000519266"
"456"	"ENST00000519504"
"457"	"ENST00000520204"
"458"	"ENST00000520823"
"459"	"ENST00000521025"
"460"	"ENST00000521804"
"461"	"ENST00000522002"
"462"	"ENST00000522051"
"463"	"ENST00000522594"
"464"	"ENST00000523224"
"465"	"ENST00000523259"
"466"	"ENST00000523505"
"467"	"ENST00000524315"
"468"	"ENST00000525158"
"469"	"ENST00000525223"
"470"	"ENST00000525750"
"471"	"ENST00000526353"
"472"	"ENST00000526548"
"473"	"ENST00000526811"
"474"	"ENST00000526907"
"475"	"ENST00000526980"
"476"	"ENST00000527031"
"477"	"ENST00000527160"
"478"	"ENST00000527370"
"479"	"ENST00000527401"
"480"	"ENST00000527447"
"481"	"ENST00000527741"
"482"	"ENST00000527972"
"483"	"ENST00000528293"
"484"	"ENST00000528799"
"485"	"ENST00000528880"
"486"	"ENST00000529370"
"487"	"ENST00000529565"
"488"	"ENST00000529739"
"489"	"ENST00000530945"
"490"	"ENST00000531530"
"491"	"ENST00000531546"
"492"	"ENST00000531771"
"493"	"ENST00000531912"
"494"	"ENST00000532090"
"495"	"ENST00000532543"
"496"	"ENST00000532741"
"497"	"ENST00000533190"
"498"	"ENST00000533350"
"499"	"ENST00000533400"
"500"	"ENST00000533872"
"501"	"ENST00000533968"
"502"	"ENST00000534294"
"503"	"ENST00000534336"
"504"	"ENST00000534356"
"505"	"ENST00000534609"
"506"	"ENST00000534885"
"507"	"ENST00000536684"
"508"	"ENST00000536717"
"509"	"ENST00000536759"
"510"	"ENST00000537099"
"511"	"ENST00000538152"
"512"	"ENST00000539154"
"513"	"ENST00000540743"
"514"	"ENST00000541118"
"515"	"ENST00000541159"
"516"	"ENST00000541671"
"517"	"ENST00000543119"
"518"	"ENST00000544112"
"519"	"ENST00000544513"
"520"	"ENST00000544721"
"521"	"ENST00000545031"
"522"	"ENST00000545075"
"523"	"ENST00000545616"
"524"	"ENST00000545968"
"525"	"ENST00000546260"
"526"	"ENST00000546292"
"527"	"ENST00000547588"
"528"	"ENST00000547772"
"529"	"ENST00000548100"
"530"	"ENST00000550948"
"531"	"ENST00000551455"
"532"	"ENST00000552892"
"533"	"ENST00000553027"
"534"	"ENST00000553041"
"535"	"ENST00000553639"
"536"	"ENST00000554014"
"537"	"ENST00000554315"
"538"	"ENST00000554417"
"539"	"ENST00000555222"
"540"	"ENST00000555641"
"541"	"ENST00000556083"
"542"	"ENST00000556539"
"543"	"ENST00000557041"
"544"	"ENST00000557156"
"545"	"ENST00000557252"
"546"	"ENST00000557577"
"547"	"ENST00000557781"
"548"	"ENST00000557815"
"549"	"ENST00000559007"
"550"	"ENST00000559441"
"551"	"ENST00000560093"
"552"	"ENST00000560589"
"553"	"ENST00000561143"
"554"	"ENST00000561175"
"555"	"ENST00000561486"
"556"	"ENST00000561488"
"557"	"ENST00000561976"
"558"	"ENST00000562593"
"559"	"ENST00000562621"
"560"	"ENST00000563924"
"561"	"ENST00000564016"
"562"	"ENST00000564237"
"563"	"ENST00000564680"
"564"	"ENST00000564809"
"565"	"ENST00000566338"
"566"	"ENST00000566457"
"567"	"ENST00000567278"
"568"	"ENST00000568372"
"569"	"ENST00000568683"
"570"	"ENST00000569359"
"571"	"ENST00000569407"
"572"	"ENST00000570167"
"573"	"ENST00000570294"
"574"	"ENST00000570473"
"575"	"ENST00000570582"
"576"	"ENST00000570798"
"577"	"ENST00000570846"
"578"	"ENST00000570924"
"579"	"ENST00000571277"
"580"	"ENST00000571301"
"581"	"ENST00000571650"
"582"	"ENST00000572004"
"583"	"ENST00000572085"
"584"	"ENST00000573267"
"585"	"ENST00000574234"
"586"	"ENST00000574512"
"587"	"ENST00000575038"
"588"	"ENST00000575087"
"589"	"ENST00000575231"
"590"	"ENST00000575285"
"591"	"ENST00000576537"
"592"	"ENST00000577226"
"593"	"ENST00000577483"
"594"	"ENST00000577711"
"595"	"ENST00000578539"
"596"	"ENST00000578895"
"597"	"ENST00000579003"
"598"	"ENST00000580341"
"599"	"ENST00000580533"
"600"	"ENST00000581080"
"601"	"ENST00000581796"
"602"	"ENST00000581811"
"603"	"ENST00000582401"
"604"	"ENST00000582456"
"605"	"ENST00000582881"
"606"	"ENST00000583211"
"607"	"ENST00000583810"
"608"	"ENST00000585044"
"609"	"ENST00000586020"
"610"	"ENST00000586659"
"611"	"ENST00000586817"
"612"	"ENST00000587655"
"613"	"ENST00000587673"
"614"	"ENST00000589582"
"615"	"ENST00000589666"
"616"	"ENST00000589685"
"617"	"ENST00000589882"
"618"	"ENST00000590446"
"619"	"ENST00000590602"
"620"	"ENST00000590776"
"621"	"ENST00000590782"
"622"	"ENST00000591620"
"623"	"ENST00000592143"
"624"	"ENST00000592222"
"625"	"ENST00000592447"
"626"	"ENST00000594076"
"627"	"ENST00000594696"
"628"	"ENST00000594921"
"629"	"ENST00000595046"
"630"	"ENST00000595443"
"631"	"ENST00000595934"
"632"	"ENST00000597755"
"633"	"ENST00000598034"
"634"	"ENST00000598234"
"635"	"ENST00000600787"
"636"	"ENST00000600815"
"637"	"ENST00000602490"
"638"	"ENST00000604070"
"639"	"ENST00000605265"
"640"	"ENST00000606370"
"641"	"ENST00000606789"
"642"	"ENST00000606818"
"643"	"ENST00000607486"
"644"	"ENST00000608318"
"645"	"ENST00000608319"
"646"	"ENST00000609438"
"647"	"ENST00000609724"
"648"	"ENST00000609879"
"649"	"ENST00000610159"
"650"	"ENST00000610778"
"651"	"ENST00000611214"
"652"	"ENST00000611725"
"653"	"ENST00000612061"
"654"	"ENST00000612463"
"655"	"ENST00000612858"
"656"	"ENST00000613206"
"657"	"ENST00000614352"
"658"	"ENST00000615012"
"659"	"ENST00000616950"
"660"	"ENST00000617183"
"661"	"ENST00000617276"
"662"	"ENST00000617352"
"663"	"ENST00000617917"
"664"	"ENST00000618061"
"665"	"ENST00000618168"
"666"	"ENST00000618182"
"667"	"ENST00000618835"
"668"	"ENST00000618966"
"669"	"ENST00000619678"
"670"	"ENST00000620554"
"671"	"ENST00000621033"
"672"	"ENST00000621208"
"673"	"ENST00000621226"
"674"	"ENST00000621282"
"675"	"ENST00000623017"
"676"	"ENST00000623029"
"677"	"ENST00000623375"
"678"	"ENST00000623625"
"679"	"ENST00000623706"
"680"	"ENST00000623870"
"681"	"ENST00000624323"
"682"	"ENST00000624346"
"683"	"ENST00000624554"
"684"	"ENST00000624650"
"685"	"ENST00000624739"
"686"	"ENST00000624849"
"687"	"ENST00000624864"
"688"	"ENST00000625888"
"689"	"ENST00000627130"
"690"	"ENST00000628517"
"691"	"ENST00000629393"
"692"	"ENST00000629441"
"693"	"ENST00000629517"
"694"	"ENST00000630436"
"695"	"ENST00000630909"
"696"	"ENST00000631211"
"697"	"ENST00000633163"
"698"	"ENST00000633942"
"699"	"ENST00000634778"
"700"	"ENST00000635506"
"701"	"ENST00000635626"
"702"	"ENST00000636177"
"703"	"ENST00000638083"
"704"	"ENST00000642124"
"705"	"ENST00000644817"
"706"	"ENST00000644894"
"707"	"ENST00000645828"
"708"	"ENST00000645861"
"709"	"ENST00000647377"
"710"	"ENST00000647741"
"711"	"ENST00000647809"
"712"	"ENST00000648151"
"713"	"ENST00000648224"
"714"	"ENST00000649328"
"715"	"ENST00000650182"
"716"	"ENST00000650495"
"717"	"ENST00000650860"
"718"	"ENST00000650933"
"719"	"ENST00000651205"
"720"	"ENST00000651385"
"721"	"ENST00000651432"
"722"	"ENST00000651641"
"723"	"ENST00000651906"
"724"	"ENST00000651992"
"725"	"ENST00000652130"
"726"	"ENST00000653168"
"727"	"ENST00000653620"
"728"	"ENST00000654187"
"729"	"ENST00000654339"
"730"	"ENST00000655086"
"731"	"ENST00000656416"
"732"	"ENST00000656688"
"733"	"ENST00000659449"
"734"	"ENST00000660100"
"735"	"ENST00000663159"
"736"	"ENST00000663925"
"737"	"ENST00000664551"
"738"	"ENST00000664890"
"739"	"ENST00000665299"
"740"	"ENST00000665358"
"741"	"ENST00000666082"
"742"	"ENST00000666760"
"743"	"ENST00000668003"
"744"	"ENST00000668190"
"745"	"ENST00000669205"
"746"	"ENST00000669263"
"747"	"ENST00000670229"
"748"	"ENST00000670694"
"749"	"ENST00000671814"
"750"	"ENST00000672145"
"751"	"ENST00000673358"
"752"	"ENST00000673847"
"753"	"ENST00000673952"
"754"	"ENST00000674462"
"755"	"ENST00000675164"
"756"	"ENST00000675768"
"757"	"ENST00000676138"
"758"	"ENST00000676522"
"759"	"ENST00000676722"
"760"	"ENST00000677075"
"761"	"ENST00000677607"
"762"	"ENST00000677669"
"763"	"ENST00000678529"
"764"	"ENST00000679440"
"765"	"ENST00000679744"
"766"	"ENST00000679771"
"767"	"ENST00000680209"
"768"	"ENST00000680288"
"769"	"ENST00000680468"
"770"	"ENST00000680472"
"771"	"ENST00000680482"
"772"	"ENST00000680586"
"773"	"ENST00000680616"
"774"	"ENST00000680750"
"775"	"ENST00000680883"
"776"	"ENST00000681372"
"777"	"ENST00000681429"
"778"	"ENST00000681448"
"779"	"ENST00000681550"
"780"	"ENST00000682094"
"781"	"ENST00000682509"
"782"	"ENST00000683158"
"783"	"ENST00000683838"
"784"	"ENST00000683848"
"785"	"ENST00000683863"
"786"	"ENST00000683968"
"787"	"ENST00000684086"
"788"	"ENST00000685037"
"789"	"ENST00000685187"
"790"	"ENST00000685188"
"791"	"ENST00000685217"
"792"	"ENST00000685708"
"793"	"ENST00000686153"
"794"	"ENST00000687820"
"795"	"ENST00000687922"
"796"	"ENST00000688570"
"797"	"ENST00000689641"
"798"	"ENST00000689946"
"799"	"ENST00000690000"
"800"	"ENST00000690039"
"801"	"ENST00000690366"
"802"	"ENST00000691109"
"803"	"ENST00000691296"
"804"	"ENST00000691687"
"805"	"ENST00000691904"
"806"	"ENST00000692069"
"807"	"ENST00000693597"
